abstract,authors,title,venue,year
"A triangular mesh watermarking algorithm based on vertex curvature is proposed.","Zhang et al.","Triangular Mesh Watermarking","IEEE",2022
"Deep learning techniques for medical image analysis have shown great potential.","Smith et al.","Medical Image Analysis","Nature",2021
"Research on wireless sensor networks for environmental monitoring in smart cities.","García et al.","Wireless Sensor Networks","Sensors",2023
"Advancements in quantum computing and its impact on modern cryptography.","Lee et al.","Quantum Computing","ACM",2020
"Exploring the use of convolutional neural networks for autonomous vehicle navigation.","Chen et al.","Autonomous Driving AI","IEEE",2023
"Analysis of global temperature patterns using satellite imagery and machine learning.","Wilson et al.","Climate Change Analysis","Nature",2022
"Blockchain technology applications in decentralized finance and smart contracts.","Brown et al.","Blockchain in DeFi","ACM",2021
"Development of soft robotic actuators for minimally invasive surgical procedures.","Kim et al.","Surgical Soft Robotics","Science",2024
"Cybersecurity threats in the era of Internet of Things and edge computing.","Taylor et al.","IoT Security Research","IEEE",2022
"Natural language processing models for real-time translation in multilingual environments.","Wang et al.","Advanced NLP Models","ACL",2023